PassengerId,Survived_preds,Survived_probs
892,0,0.10968305400262467
893,0,0.3761993997515413
894,0,0.08990086237561297
895,0,0.10558338200938479
896,1,0.5825101718509745
897,0,0.16093389219155652
898,1,0.693475084246185
899,0,0.15580081783271374
900,1,0.7895658231581426
901,0,0.07129462145554318
902,0,0.09617298676666315
903,0,0.23544825843146053
904,1,0.9496192193902367
905,0,0.049102127507323595
906,1,0.674453328591127
907,1,0.8353822161328676
908,0,0.21420486201502204
909,0,0.17750496750779934
910,1,0.5600335597233504
911,1,0.5792449448108276
912,0,0.20896580373181187
913,0,0.16682727121118118
914,1,0.900102233874922
915,1,0.5471476788434865
916,1,0.9569789370771041
917,0,0.03468227730871121
918,1,0.9710932992871564
919,0,0.16951833777791767
920,0,0.4119838810863436
921,0,0.07486050820763337
922,0,0.07721779940363538
923,0,0.1355985211023264
924,0,0.46234890081197544
925,0,0.4962866638429465
926,0,0.346798712796173
927,0,0.19146957919009217
928,1,0.6235081047964528
929,1,0.696432222786743
930,0,0.113198185523368
931,0,0.1178521914615983
932,0,0.09219940556688376
933,1,0.5113432586724558
934,0,0.06535394710564252
935,1,0.7871930824241701
936,1,0.8787218013655902
937,0,0.11245999366034623
938,0,0.4698372726104704
939,0,0.1282995744248761
940,1,0.9075921986176078
941,1,0.5196470892189702
942,1,0.5127034483781989
943,0,0.2833371599831754
944,1,0.7081305154554549
945,1,0.8254170347495782
946,0,0.26393012101471514
947,0,0.0659866835742982
948,0,0.08036988115743443
949,0,0.11119825545877357
950,0,0.07143282289103572
951,1,0.9828271021745142
952,0,0.1456765202789525
953,0,0.18122483249091365
954,0,0.14103283443446418
955,1,0.7528622226465133
956,1,0.803615091595123
957,1,0.7952260700927586
958,1,0.7795754437207747
959,0,0.24266160092047892
960,1,0.5971572508486773
961,1,0.7031217437228175
962,1,0.7388086080717599
963,0,0.12814540503322458
964,1,0.6294460122440874
965,1,0.6183722482939601
966,1,0.9790823273514101
967,1,0.7675669481147096
968,0,0.09623576529300087
969,1,0.8878021596461113
970,0,0.19214311975472434
971,1,0.7388086080717599
972,0,0.1953055252314555
973,0,0.31250563863610664
974,0,0.21598819806314123
975,0,0.09617298676666315
976,0,0.24775761974354682
977,0,0.10107495250988831
978,1,0.7168700559332205
979,1,0.7188772939686201
980,1,0.6959646384794262
981,0,0.3043454534657955
982,1,0.6118142584702507
983,0,0.09612383174956259
984,1,0.7157048188752383
985,0,0.09623576529300087
986,0,0.49731704485266703
987,0,0.11239962543863567
988,0,0.3754840288853718
989,0,0.09846552812228876
990,1,0.7034361927963912
991,0,0.08608973694645192
992,1,0.9209571557638153
993,0,0.1642852760060351
994,0,0.1282995744248761
995,0,0.10873846411019143
996,1,0.7161590101492323
997,0,0.10823519196956266
998,0,0.1690024059499399
999,0,0.1282995744248761
1000,0,0.09650590173567208
1001,0,0.4027990252226654
1002,0,0.19034278582621142
1003,1,0.6959935681962534
1004,1,0.9510565382094371
1005,1,0.7758835772706381
1006,1,0.8913240265752133
1007,0,0.14793332379092777
1008,0,0.1346956407417303
1009,0,0.497916565489471
1010,1,0.6050731666769233
1011,1,0.7394827605496209
1012,1,0.879677040913544
1013,0,0.09288657304393745
1014,1,0.9406602774995058
1015,0,0.10152275639799589
1016,0,0.1282995744248761
1017,1,0.7108298885948047
1018,0,0.12400274821495753
1019,1,0.5436659355028141
1020,0,0.13218781808606986
1021,0,0.11628024268179124
1022,0,0.0890566316097234
1023,0,0.3956824526116338
1024,1,0.5321514777119193
1025,0,0.09771510906869467
1026,0,0.060973550691971856
1027,0,0.11618606628038221
1028,0,0.1496205231573531
1029,0,0.21625783911261712
1030,1,0.6798820472548099
1031,0,0.02962596894941224
1032,0,0.3486929195589731
1033,1,0.9332077835841744
1034,0,0.46881996049060937
1035,0,0.2139957062190489
1036,0,0.26372679864781345
1037,0,0.03455900683417085
1038,0,0.25626523789126265
1039,0,0.12413209798109777
1040,0,0.36125817838035934
1041,0,0.13559220290170884
1042,1,0.9777179229565989
1043,0,0.13549347735569198
1044,0,0.03659975858573158
1045,1,0.5153017300254802
1046,0,0.03953435678653754
1047,0,0.1160398827774997
1048,1,0.976562498071146
1049,1,0.6796824798614033
1050,0,0.39857665404990184
1051,1,0.6082633611871539
1052,1,0.6959480923623231
1053,0,0.18953545821975484
1054,1,0.8113743487924129
1055,0,0.09580900842383706
1056,0,0.1365060909445678
1057,1,0.5572836072957296
1058,0,0.466344307250606
1059,0,0.06683792469018802
1060,1,0.9287113881469029
1061,1,0.688825975469707
1062,0,0.09603233631289693
1063,0,0.14727350586728175
1064,0,0.08895822870527333
1065,0,0.13512828683591235
1066,0,0.030847783000119026
1067,1,0.8529867808024297
1068,1,0.8570048450931855
1069,0,0.3324150247219598
1070,1,0.9691119103701359
1071,1,0.8743063848262626
1072,0,0.19214311975472434
1073,0,0.48736879769074937
